for_libelle,for_reference,fil_libelle
"NetMF : Micro Framework .Net, développement embarqué en C# ",SNMT,.NET
"Power Systems pour AIX - Administration système II : Installation et Mise en Œuvre",AN12G,IBM
"Scrum Master certifiante - Niveau 1",GSMC,Développement
"Scrum Product Owner Certifiante",GSPO,Développement
"Piloter un projet Web ",GPWE,"Web - Digital"
YOCTO,UYOC,"Unix - Linux - macOS"
"Big Data : Enjeux, concepts, architectures et outils",OBIF,"Management des SI"
"AIX SAN Management : Administration ",AN49G,IBM
"Analyse et optimisation des problèmes complexes de performances AIX",AN52G,IBM
"Marketing digital, tendances et enjeux ",DEAE,"Web - Digital"
"POWER8 et AIX : les améliorations",AN101G,IBM
"POWER8 et AIX : les améliorations (avec exercices)",AN102G,IBM
"Développer des applications Windows sécurisées",DSDW,Développement
"Développer des applications Windows sécurisées",DSDW,"Microsoft Système"
"Elasticsearch  : Configuration et mise en place du moteur de recherche de 2è génération",ELSE,"Web - Digital"
"Power Systems for AIX III : Virtualization - Implementing Shared Storage Pools",AN32G,IBM
"Red Hat OpenShift Enterprise - Administration (avec certification RHCE PaaS)",DO281,"Virtualisation - Cloud - DevOps"
"Big Data : Architecture et Infrastructure",OAIH,"Management des SI"
"IBM Open Platform with Apache Hadoop (v4)",DW606G,"Big Data - BI"
"Red Hat OpenShift Enterprise - Administration",DO280,"Virtualisation - Cloud - DevOps"
"Automatisation avec Ansible (Cours officiel Red Hat)",DO407,"Unix - Linux - macOS"
"Automatisation avec Ansible avec certification EX407 (Cours officiel Red Hat)",DO408,"Unix - Linux - macOS"
"Architectures réseaux sécurisées ",RARS,Sécurité
